id,logo,zh-CN,zh-TW,en,ja
hawks,亚特兰大老鹰,老鹰,老鷹,Hawks,ホークス
celtics,波士顿凯尔特人,凯尔特人,塞爾提克,Celtics,セルティックス
nets,布鲁克林篮网,篮网,籃網,Nets,ネッツ
hornets,夏洛特黄蜂,黄蜂,黃蜂,Hornets,ホーネッツ
bulls,芝加哥公牛,公牛,公牛,Bulls,ブルズ
cavaliers,克利夫兰骑士,骑士,騎士,Cavaliers,キャバリアーズ
mavericks,达拉斯独行侠,独行侠,獨行俠,Mavericks,マーベリックス
nuggets,丹佛掘金,掘金,金塊,Nuggets,ナゲッツ
pistons,底特律活塞,活塞,活塞,Pistons,ピストンズ
warriors,金州勇士,勇士,勇士,Warriors,ウォリアーズ
rockets,休斯顿火箭,火箭,火箭,Rockets,ロケッツ
pacers,印第安纳步行者,步行者,溜馬,Pacers,ペイサーズ
clippers,洛杉矶快船,快船,快艇,Clippers,クリッパーズ
lakers,洛杉矶湖人,湖人,湖人,Lakers,レイカーズ
grizzlies,孟菲斯灰熊,灰熊,灰熊,Grizzlies,グリズリーズ
heat,迈阿密热火,热火,熱火,Heat,ヒート
bucks,密尔沃基雄鹿,雄鹿,公鹿,Bucks,バックス
timberwolves,明尼苏达森林狼,森林狼,灰狼,Timberwolves,ティンバーウルブズ
pelicans,新奥尔良鹈鹕,鹈鹕,鵜鶘,Pelicans,ペリカンズ
knicks,纽约尼克斯,尼克斯,尼克斯,Knicks,ニックス
thunder,俄克拉荷马城雷霆,雷霆,雷霆,Thunder,サンダー
magic,奥兰多魔术,魔术,魔術,Magic,マジック
76ers,费城76人,76人,76人,76ers,76ers
suns,菲尼克斯太阳,太阳,太陽,Suns,サンズ
blazers,波特兰开拓者,开拓者,拓荒者,Blazers,ブレイザーズ
kings,萨克拉门托国王,国王,國王,Kings,キングス
spurs,圣安东尼奥马刺,马刺,馬刺,Spurs,スパーズ
raptors,多伦多猛龙,猛龙,暴龍,Raptors,ラプターズ
jazz,犹他爵士,爵士,爵士,Jazz,ジャズ
wizards,华盛顿奇才,奇才,巫師,Wizards,ウィザーズ
